[824,843,730,789,0],
[386,489,377,512,1],
[397,431,648,700,2],
[377,457,411,492,1],
[804,843,752,793,0],
[421,484,578,718,2],
[406,489,418,517,1],
[827,839,695,788,0],
[408,447,570,704,2],
[404,472,400,504,1],
[816,842,708,804,0],
[406,456,558,684,2],
[397,471,383,510,1],
[844,857,742,810,0],
[409,459,578,689,2],
[399,474,408,509,1],
[822,837,665,789,0],
[417,451,570,724,2],
[394,466,357,518,1],
[804,831,695,795,0],
[410,442,590,738,2],
[394,460,383,509,1],
[804,841,695,799,0],
[444,443,696,751,2],
[388,449,399,491,1],
[834,850,729,810,0],
[427,479,695,746,2],
[391,474,352,516,1],
[829,849,722,810,0],
[445,445,634,723,2],
[397,461,390,496,1],
[839,853,718,808,0],
[434,482,703,728,2],
[394,471,402,500,1],
[843,853,727,799,0],
[412,465,692,708,2],
[391,470,410,502,1],
[832,851,737,806,0],

[411,451,669,701,2],
[402,478,405,517,1],
[836,857,696,809,0],
[414,461,636,707,2],
[394,472,406,514,1],
[839,856,690,808,0],
